latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.74117,75.49102,338.49,0.43,0.46,2024-01-26,827,N20,VIIRS,n,2,291.32,6.08,D,0
31.78825,75.49126,338.21,0.43,0.46,2024-01-26,827,N20,VIIRS,n,2,292.39,6.46,D,0
31.56159,76.58526,337.26,0.5,0.49,2024-01-26,827,N20,VIIRS,n,2,288.55,2.99,D,0
31.56404,76.58231,342.58,0.5,0.49,2024-01-26,827,N20,VIIRS,n,2,290.36,6.55,D,0
31.16558,75.88828,338.0,0.45,0.47,2024-01-26,827,N20,VIIRS,n,2,288.7,5.68,D,0
31.91869,75.60098,335.83,0.44,0.46,2024-01-26,828,N20,VIIRS,n,2,291.67,5.57,D,0
31.99942,76.21525,332.35,0.48,0.48,2024-01-26,828,N20,VIIRS,n,2,294.68,4.44,D,0
31.93089,75.46302,333.22,0.43,0.46,2024-01-26,828,N20,VIIRS,n,2,290.49,3.12,D,0
31.94701,74.85666,328.71,0.4,0.44,2024-01-26,828,N20,VIIRS,n,2,289.56,2.42,D,0
32.37163,75.04667,340.29,0.42,0.45,2024-01-26,828,N20,VIIRS,n,2,293.34,9.26,D,0
32.37356,75.0469,331.98,0.42,0.45,2024-01-26,828,N20,VIIRS,n,2,291.37,3.69,D,0
30.9419,75.60403,307.1,0.41,0.37,2024-01-26,2051,N20,VIIRS,n,2,278.72,1.48,N,0
30.93855,75.60326,327.61,0.41,0.37,2024-01-26,2051,N20,VIIRS,n,2,305.25,43.53,N,0
30.93927,75.59906,295.69,0.41,0.37,2024-01-26,2051,N20,VIIRS,n,2,278.38,43.53,N,0
29.57934,74.55394,315.05,0.39,0.36,2024-01-26,2051,N20,VIIRS,n,2,278.6,1.59,N,0
29.9084,74.94936,333.03,0.4,0.37,2024-01-26,2051,N20,VIIRS,n,2,279.82,3.29,N,2
29.91173,74.95011,311.92,0.4,0.37,2024-01-26,2051,N20,VIIRS,n,2,279.35,1.04,N,2
30.07781,75.62178,296.56,0.41,0.37,2024-01-26,2051,N20,VIIRS,n,2,278.5,0.9,N,0
30.07854,75.61756,297.33,0.41,0.37,2024-01-26,2051,N20,VIIRS,n,2,277.31,0.92,N,0
30.26391,75.17357,304.23,0.4,0.37,2024-01-26,2051,N20,VIIRS,n,2,279.11,0.87,N,0
31.74408,76.58766,299.02,0.43,0.38,2024-01-26,2051,N20,VIIRS,n,2,276.78,0.78,N,0
31.73988,76.59119,304.42,0.43,0.38,2024-01-26,2051,N20,VIIRS,n,2,276.34,0.78,N,0
31.60396,74.5659,299.46,0.39,0.36,2024-01-26,2051,N20,VIIRS,n,2,279.01,0.74,N,0
31.6223,74.43232,295.83,0.39,0.36,2024-01-26,2051,N20,VIIRS,n,2,278.64,0.42,N,2
31.61967,74.42757,298.42,0.39,0.36,2024-01-26,2051,N20,VIIRS,n,2,278.89,0.61,N,2
31.59435,74.41489,297.52,0.39,0.36,2024-01-26,2051,N20,VIIRS,n,2,279.94,0.53,N,0
31.29615,76.2804,330.41,0.42,0.38,2024-01-27,808,N20,VIIRS,n,2,295.74,3.9,D,0
31.29674,76.28484,330.99,0.42,0.38,2024-01-27,808,N20,VIIRS,n,2,297.63,7.31,D,0
